subject,arm,cam_a,cam_b,raw_med_mm,centroid_mm,aligned_med_mm
train05,T,webcam_l,basler,0.863,0.203,0.878
train05,S,webcam_l,webcam_c,1.610,1.606,1.641
train05,T,webcam_l,webcam_c,1.050,0.387,0.675
train05,S,webcam_r,basler,1.380,0.439,1.379
train05,T,webcam_r,basler,1.532,0.169,1.481
train05,S,webcam_r,webcam_c,2.238,1.597,1.329
train05,T,webcam_r,webcam_c,1.569,0.435,1.500
train05,S,webcam_r,webcam_l,2.456,0.231,2.870
train05,T,webcam_r,webcam_l,1.715,0.158,1.956
train07,S,webcam_c,basler,1.598,0.209,1.419
train07,T,webcam_c,basler,1.024,0.152,0.797
train07,S,webcam_l,basler,2.685,0.176,2.567
train07,T,webcam_l,basler,1.468,0.148,1.492
train07,S,webcam_l,webcam_c,0.850,0.128,1.085
train07,T,webcam_l,webcam_c,0.466,0.059,0.475
train07,S,webcam_r,basler,1.185,0.200,1.105
train07,T,webcam_r,basler,1.644,0.070,1.562
train07,S,webcam_r,webcam_c,1.219,0.266,1.316
train07,T,webcam_r,webcam_c,1.405,0.108,1.400
train07,S,webcam_r,webcam_l,1.741,0.293,1.976
train07,T,webcam_r,webcam_l,2.010,0.123,1.860
train08,S,webcam_c,basler,2.424,1.167,2.266
train08,T,webcam_c,basler,2.619,0.473,2.287
train08,S,webcam_l,basler,1.792,0.225,1.972
train08,T,webcam_l,basler,1.737,0.107,1.746
train08,S,webcam_l,webcam_c,2.301,1.392,2.864
train08,T,webcam_l,webcam_c,2.770,0.403,2.726
train08,S,webcam_r,basler,2.348,0.096,2.121
train08,T,webcam_r,basler,1.871,0.078,1.660
train08,S,webcam_r,webcam_c,3.936,1.240,3.425
train08,T,webcam_r,webcam_c,3.697,0.493,3.373
train08,S,webcam_r,webcam_l,2.965,0.165,2.668
train08,T,webcam_r,webcam_l,3.044,0.097,3.016
train14,S,webcam_l,webcam_c,1.291,0.143,1.025
