gate_px,kept_groups,pct_of_all,pct_of_complete,extra_drop_vs_20px
5,197148,0.782,0.801,9.4%
10,212128,0.841,0.862,3.4%
15,217465,0.862,0.883,1.3%
20,220788,0.876,0.897,0.0%
