subject,arm,cam_a,cam_b,point,raw_mm,aligned_mm
train02,S,webcam_r,webcam_c,eye35(outer corner),0.796,0.612
train02,S,webcam_r,webcam_c,eye39(inner corner),2.012,1.415
train02,S,webcam_r,webcam_c,eye89(inner corner),1.698,1.671
train02,S,webcam_r,webcam_c,eye93(outer corner),0.182,0.540
train02,S,webcam_r,webcam_c,nose78(base of nose),0.588,0.594
train02,S,webcam_r,webcam_c,nose84(base of nose),1.139,1.084
train02,T,webcam_r,webcam_c,eye35(outer corner),0.537,0.479
train02,T,webcam_r,webcam_c,eye39(inner corner),1.274,0.985
train02,T,webcam_r,webcam_c,eye89(inner corner),0.998,1.068
train02,T,webcam_r,webcam_c,eye93(outer corner),0.170,0.300
train02,T,webcam_r,webcam_c,nose78(base of nose),1.471,1.253
train02,T,webcam_r,webcam_c,nose84(base of nose),1.062,1.323
train02,S,webcam_r,webcam_l,eye35(outer corner),2.366,1.579
train02,S,webcam_r,webcam_l,eye39(inner corner),1.406,1.064
train02,S,webcam_r,webcam_l,eye89(inner corner),3.224,3.211
train02,S,webcam_r,webcam_l,eye93(outer corner),1.077,1.513
train02,S,webcam_r,webcam_l,nose78(base of nose),1.603,2.553
train02,S,webcam_r,webcam_l,nose84(base of nose),3.272,2.289
train02,T,webcam_r,webcam_l,eye35(outer corner),2.439,1.868
train02,T,webcam_r,webcam_l,eye39(inner corner),1.301,1.438
train02,T,webcam_r,webcam_l,eye89(inner corner),2.740,2.737
train02,T,webcam_r,webcam_l,eye93(outer corner),1.431,1.675
train02,T,webcam_r,webcam_l,nose78(base of nose),1.244,1.793
train02,T,webcam_r,webcam_l,nose84(base of nose),2.165,1.513
train12,S,webcam_c,basler,eye35(outer corner),1.722,1.729
train12,S,webcam_c,basler,eye39(inner corner),3.193,3.025
train12,S,webcam_c,basler,eye89(inner corner),1.293,1.479
train12,S,webcam_c,basler,eye93(outer corner),1.928,1.924
train12,S,webcam_c,basler,nose78(base of nose),4.536,3.889
train12,S,webcam_c,basler,nose84(base of nose),2.883,3.586
train12,T,webcam_c,basler,eye35(outer corner),1.378,1.528
train12,T,webcam_c,basler,eye39(inner corner),1.505,1.464
train12,T,webcam_c,basler,eye89(inner corner),1.300,0.793
train12,T,webcam_c,basler,eye93(outer corner),2.064,1.494
train12,T,webcam_c,basler,nose78(base of nose),1.869,1.261
train12,T,webcam_c,basler,nose84(base of nose),0.732,0.691
train12,S,webcam_l,basler,eye35(outer corner),2.514,1.932
