cam,n_pairs,pos3d_gen6_mm,pos3d_true6_mm,hcs_gen6_deg,hcs_true6_deg,pos3d_true6_split
cam01,4193,42.160,35.072,9.218,0.038,03|12
cam02,4193,37.023,26.199,14.039,0.031,01|23
cam03,4193,40.496,26.199,6.791,0.025,01|23
AVG vs cam00,4193,39.893,29.156,10.016,0.031,
