subject,arm,cam,n_train,n_kept,train_rms_px,test_rms_med_px,iod_mm
subject0009,F,cam07,596,0,nan,26.298,89.528
subject0009,F,cam08,596,0,nan,17.216,89.528
subject0009,F,cam09,596,0,nan,21.435,89.528
subject0009,F,cam10,596,0,nan,42.492,89.528
subject0009,F,cam16,596,0,nan,28.448,89.528
subject0009,F,cam17,596,0,nan,23.306,89.528
subject0009,M,cam00,596,298,9.841,12.092,89.128
subject0009,M,cam01,596,298,9.841,12.106,89.128
subject0009,M,cam02,596,298,9.841,14.401,89.128
subject0009,M,cam03,596,298,9.841,16.567,89.128
subject0009,M,cam07,596,298,9.841,20.896,89.128
subject0009,M,cam08,596,298,9.841,17.056,89.128
subject0009,M,cam09,596,298,9.841,22.052,89.128
subject0009,M,cam10,596,298,9.841,29.497,89.128
subject0009,M,cam16,596,298,9.841,21.223,89.128
subject0009,M,cam17,596,298,9.841,25.541,89.128
subject0009,S_cross,cam00,0,0,nan,34.066,nan
subject0009,S_cross,cam01,0,0,nan,32.179,nan
subject0009,S_cross,cam02,0,0,nan,39.836,nan
subject0009,S_cross,cam03,0,0,nan,45.951,nan
subject0009,S_cross,cam07,0,0,nan,44.355,nan
subject0009,S_cross,cam08,0,0,nan,19.718,nan
subject0009,S_cross,cam10,0,0,nan,35.356,nan
subject0009,S_cross,cam16,0,0,nan,35.987,nan
subject0009,S_cross,cam17,0,0,nan,17.674,nan
subject0004,T,cam00,60,60,5.135,6.947,89.792
subject0004,Tk,cam00,30,30,4.378,6.188,89.816
subject0004,S,cam00,60,30,3.762,6.138,89.706
subject0004,GEN,cam00,0,0,nan,23.570,nan
subject0004,T,cam01,60,60,5.288,6.911,89.851
subject0004,Tk,cam01,30,30,4.085,6.412,89.830
subject0004,S,cam01,60,30,3.345,6.445,89.892
subject0004,GEN,cam01,0,0,nan,21.727,nan
subject0004,T,cam02,60,60,5.320,6.594,90.081
subject0004,Tk,cam02,30,30,3.810,7.001,89.645
subject0004,S,cam02,60,30,3.258,6.963,89.987
subject0004,GEN,cam02,0,0,nan,29.077,nan
subject0004,T,cam07,60,60,4.914,6.967,89.446
subject0004,Tk,cam07,30,30,3.931,7.051,88.970
subject0004,S,cam07,60,30,3.525,6.981,89.098
subject0004,GEN,cam07,0,0,nan,26.816,nan
subject0004,T,cam08,60,60,6.798,8.182,89.091
subject0004,Tk,cam08,30,30,4.859,8.529,88.993
subject0004,S,cam08,60,30,4.205,8.595,89.082
subject0004,GEN,cam08,0,0,nan,32.261,nan
subject0004,T,cam09,60,60,6.873,8.763,89.037
subject0004,Tk,cam09,30,30,5.236,8.475,89.046
subject0004,S,cam09,60,30,3.995,8.565,89.139
subject0004,GEN,cam09,0,0,nan,29.901,nan
subject0004,T,cam10,60,60,6.220,8.378,89.291
subject0004,Tk,cam10,30,30,4.696,8.585,89.010
subject0004,S,cam10,60,30,3.932,8.613,89.000
subject0004,GEN,cam10,0,0,nan,39.246,nan
subject0004,T,cam16,60,60,4.476,6.587,89.451
subject0004,Tk,cam16,30,30,3.391,7.062,89.677
subject0004,S,cam16,60,30,2.956,7.037,90.465
subject0004,GEN,cam16,0,0,nan,34.029,nan
subject0004,T,cam17,60,60,6.936,8.975,89.021
subject0004,Tk,cam17,30,30,5.759,9.069,89.019
subject0004,S,cam17,60,30,5.206,9.179,89.095
subject0004,GEN,cam17,0,0,nan,30.525,nan
subject0004,S240,cam17,90,45,6.036,9.428,88.785
subject0004,F,cam00,540,0,nan,17.388,89.333
subject0004,F,cam01,540,0,nan,19.381,89.333
subject0004,F,cam02,540,0,nan,28.297,89.333
subject0004,F,cam07,540,0,nan,30.700,89.333
subject0004,F,cam08,540,0,nan,13.179,89.333
subject0004,F,cam09,540,0,nan,14.125,89.333
subject0004,F,cam10,540,0,nan,31.338,89.333
subject0004,F,cam16,540,0,nan,25.470,89.333
subject0004,F,cam17,540,0,nan,17.969,89.333
subject0004,M,cam00,540,270,9.213,15.954,89.189
subject0004,M,cam01,540,270,9.213,15.832,89.189
subject0004,M,cam02,540,270,9.213,18.152,89.189
subject0004,M,cam07,540,270,9.213,21.374,89.189
subject0004,M,cam08,540,270,9.213,9.135,89.189
subject0004,M,cam09,540,270,9.213,11.155,89.189
subject0004,M,cam10,540,270,9.213,25.927,89.189
subject0004,M,cam16,540,270,9.213,15.523,89.189
subject0004,M,cam17,540,270,9.213,14.167,89.189
subject0004,S_cross,cam00,0,0,nan,38.596,nan
subject0004,S_cross,cam01,0,0,nan,41.838,nan
subject0004,S_cross,cam02,0,0,nan,43.787,nan
subject0004,S_cross,cam07,0,0,nan,44.708,nan
subject0004,S_cross,cam08,0,0,nan,15.478,nan
subject0004,S_cross,cam09,0,0,nan,15.394,nan
subject0004,S_cross,cam10,0,0,nan,37.823,nan
subject0004,S_cross,cam16,0,0,nan,30.022,nan
subject0010,T,cam00,60,60,7.126,7.111,89.961
subject0010,Tk,cam00,30,30,5.657,7.158,89.989
subject0010,S,cam00,60,30,4.332,7.088,90.040
subject0010,GEN,cam00,0,0,nan,23.734,nan
subject0010,T,cam01,60,60,6.902,7.665,90.059
subject0010,Tk,cam01,30,30,5.571,7.402,90.048
subject0010,S,cam01,60,30,4.355,7.340,90.185
subject0010,GEN,cam01,0,0,nan,25.308,nan
subject0010,T,cam02,60,60,6.739,7.876,88.656
subject0010,Tk,cam02,30,30,5.285,7.818,89.153
subject0010,S,cam02,60,30,4.567,7.816,89.031
subject0010,GEN,cam02,0,0,nan,32.370,nan
subject0010,T,cam07,60,60,5.700,6.476,88.662
subject0010,Tk,cam07,30,30,4.897,6.357,89.103
subject0010,S,cam07,60,30,3.942,6.215,89.163
subject0010,GEN,cam07,0,0,nan,28.288,nan
subject0010,T,cam08,60,60,6.593,6.465,89.942
subject0010,Tk,cam08,30,30,5.743,6.469,89.856
subject0010,S,cam08,60,30,4.254,6.513,89.342
subject0010,GEN,cam08,0,0,nan,23.124,nan
subject0010,T,cam09,60,60,6.335,6.634,89.985
subject0010,Tk,cam09,30,30,5.510,6.268,89.988
subject0010,S,cam09,60,30,4.277,6.317,89.942
subject0010,GEN,cam09,0,0,nan,22.880,nan
subject0010,T,cam10,60,60,11.451,12.880,88.264
subject0010,Tk,cam10,30,30,8.955,11.858,88.195
subject0010,S,cam10,60,30,6.435,11.078,88.176
subject0010,GEN,cam10,0,0,nan,41.796,nan
subject0010,T,cam16,60,60,6.600,7.362,89.396
subject0010,Tk,cam16,30,30,5.037,7.093,89.454
subject0010,S,cam16,60,30,4.244,6.883,89.123
subject0010,GEN,cam16,0,0,nan,31.616,nan
subject0010,T,cam17,60,60,5.572,5.804,89.832
subject0010,Tk,cam17,30,30,4.774,5.366,89.773
subject0010,S,cam17,60,30,3.460,5.481,89.627
subject0010,GEN,cam17,0,0,nan,24.934,nan
subject0010,S240,cam10,98,49,7.110,10.849,88.079
subject0010,F,cam00,540,0,nan,24.744,89.723
subject0010,F,cam01,540,0,nan,30.104,89.723
subject0010,F,cam02,540,0,nan,54.264,89.723
subject0010,F,cam07,540,0,nan,44.662,89.723
subject0010,F,cam08,540,0,nan,18.231,89.723
subject0010,F,cam09,540,0,nan,20.094,89.723
subject0010,F,cam10,540,0,nan,51.650,89.723
subject0010,F,cam16,540,0,nan,38.395,89.723
subject0010,F,cam17,540,0,nan,24.235,89.723
subject0010,M,cam00,540,270,10.148,11.769,89.816
subject0010,M,cam01,540,270,10.148,12.117,89.816
subject0010,M,cam02,540,270,10.148,23.684,89.816
subject0010,M,cam07,540,270,10.148,21.346,89.816
subject0010,M,cam08,540,270,10.148,20.565,89.816
subject0010,M,cam09,540,270,10.148,22.332,89.816
subject0010,M,cam10,540,270,10.148,38.946,89.816
subject0010,M,cam16,540,270,10.148,27.926,89.816
subject0010,M,cam17,540,270,10.148,30.155,89.816
subject0010,S_cross,cam00,0,0,nan,58.623,nan
subject0010,S_cross,cam01,0,0,nan,48.823,nan
subject0010,S_cross,cam02,0,0,nan,34.075,nan
subject0010,S_cross,cam07,0,0,nan,68.874,nan
subject0010,S_cross,cam08,0,0,nan,46.887,nan
subject0010,S_cross,cam09,0,0,nan,34.772,nan
subject0010,S_cross,cam16,0,0,nan,58.409,nan
subject0010,S_cross,cam17,0,0,nan,36.986,nan
subject0008,T,cam00,60,60,5.121,5.647,89.637
subject0008,Tk,cam00,30,30,3.708,5.015,89.598
subject0008,S,cam00,60,30,2.665,4.592,89.520
subject0008,GEN,cam00,0,0,nan,27.620,nan
subject0008,T,cam01,60,60,5.507,6.583,89.903
subject0008,Tk,cam01,30,30,3.892,6.038,90.127
subject0008,S,cam01,60,30,2.889,5.889,89.846
subject0008,GEN,cam01,0,0,nan,28.583,nan
subject0008,T,cam02,60,60,4.538,5.364,88.553
subject0008,Tk,cam02,30,30,3.088,4.902,89.280
subject0008,S,cam02,60,30,2.636,4.790,89.109
subject0008,GEN,cam02,0,0,nan,30.460,nan
subject0008,T,cam08,60,60,6.431,6.719,90.415
subject0008,Tk,cam08,30,30,5.174,5.638,90.442
subject0008,S,cam08,60,30,3.586,5.408,90.453
subject0008,GEN,cam08,0,0,nan,27.881,nan
subject0008,T,cam09,60,60,7.814,8.367,90.654
subject0008,Tk,cam09,30,30,5.754,6.926,90.810
subject0008,S,cam09,60,30,3.725,6.898,91.051
subject0008,GEN,cam09,0,0,nan,26.945,nan
subject0008,T,cam10,60,60,6.831,7.120,89.032
subject0008,Tk,cam10,30,30,5.355,7.114,89.140
subject0008,S,cam10,60,30,3.760,7.315,88.933
subject0008,GEN,cam10,0,0,nan,32.192,nan
subject0008,T,cam16,60,60,5.744,6.628,89.844
