subject,arm,cam,n_train,n_kept,train_rms_px,test_rms_med_px,iod_mm
train12,S,webcam_l,60,30,0.229,0.478,89.844
train12,T,webcam_c,60,60,0.428,0.607,88.114
train12,Tk,webcam_c,30,30,0.314,0.559,88.735
train12,S,webcam_c,60,30,0.274,0.565,88.566
train12,T,webcam_r,60,60,0.422,0.510,88.291
train12,Tk,webcam_r,30,30,0.341,0.513,88.428
train12,S,webcam_r,60,30,0.292,0.500,88.267
train12,S240,basler,224,112,0.273,0.539,89.224
train12,F,basler,240,0,nan,2.331,88.890
train12,F,webcam_l,240,0,nan,1.617,88.890
train12,F,webcam_c,240,0,nan,1.226,88.890
train12,F,webcam_r,240,0,nan,2.946,88.890
train12,M,basler,240,120,0.992,2.803,88.652
train12,M,webcam_l,240,120,0.992,1.331,88.652
train12,M,webcam_c,240,120,0.992,1.380,88.652
train12,M,webcam_r,240,120,0.992,1.025,88.652
train12,GEN,basler,0,0,nan,3.915,nan
train12,GEN,webcam_l,0,0,nan,4.060,nan
train12,GEN,webcam_c,0,0,nan,4.278,nan
train12,GEN,webcam_r,0,0,nan,6.133,nan
train12,S_cross,webcam_l,0,0,nan,2.813,nan
train12,S_cross,webcam_c,0,0,nan,2.641,nan
train12,S_cross,webcam_r,0,0,nan,3.827,nan
train11,T,basler,60,60,0.335,0.432,89.623
train11,Tk,basler,30,30,0.280,0.442,89.622
train11,S,basler,60,30,0.215,0.419,89.747
train11,T,webcam_l,60,60,0.423,0.557,90.223
train11,Tk,webcam_l,30,30,0.327,0.570,90.174
train11,S,webcam_l,60,30,0.276,0.540,90.286
train11,T,webcam_c,60,60,0.423,0.508,90.202
train11,Tk,webcam_c,30,30,0.297,0.487,90.211
train11,S,webcam_c,60,30,0.229,0.483,90.335
train11,T,webcam_r,60,60,0.408,0.532,89.997
train11,Tk,webcam_r,30,30,0.285,0.448,90.172
train11,S,webcam_r,60,30,0.233,0.448,90.367
train11,S240,basler,227,113,0.216,0.438,89.719
train11,F,basler,240,0,nan,3.830,90.061
train11,F,webcam_l,240,0,nan,2.255,90.061
train11,F,webcam_c,240,0,nan,1.079,90.061
train11,F,webcam_r,240,0,nan,2.796,90.061
train11,M,basler,240,120,0.702,4.013,90.309
train11,M,webcam_l,240,120,0.702,0.913,90.309
train11,M,webcam_c,240,120,0.702,0.851,90.309
train11,M,webcam_r,240,120,0.702,1.646,90.309
train11,GEN,basler,0,0,nan,3.328,nan
train11,GEN,webcam_l,0,0,nan,3.103,nan
train11,GEN,webcam_c,0,0,nan,3.282,nan
train11,GEN,webcam_r,0,0,nan,4.399,nan
train11,S_cross,webcam_l,0,0,nan,3.270,nan
train11,S_cross,webcam_c,0,0,nan,2.236,nan
train11,S_cross,webcam_r,0,0,nan,3.802,nan
train08,T,basler,60,60,0.368,0.505,90.470
train08,Tk,basler,30,30,0.290,0.534,90.450
train08,S,basler,60,30,0.247,0.516,90.461
train08,T,webcam_l,60,60,0.465,0.634,91.310
train08,Tk,webcam_l,30,30,0.357,0.618,91.229
train08,S,webcam_l,60,30,0.300,0.615,91.255
train08,T,webcam_c,60,60,0.502,0.613,91.545
train08,Tk,webcam_c,30,30,0.320,0.623,91.449
train08,S,webcam_c,60,30,0.254,0.512,91.600
train08,T,webcam_r,60,60,0.572,0.736,90.722
train08,Tk,webcam_r,30,30,0.480,0.709,90.699
train08,S,webcam_r,60,30,0.409,0.687,90.631
train08,S240,basler,229,114,0.257,0.499,90.459
train08,F,basler,240,0,nan,2.868,91.033
train08,F,webcam_l,240,0,nan,2.962,91.033
train08,F,webcam_c,240,0,nan,1.087,91.033
train08,F,webcam_r,240,0,nan,3.169,91.033
train08,M,basler,240,120,1.393,1.386,90.932
train08,M,webcam_l,240,120,1.393,2.257,90.932
train08,M,webcam_c,240,120,1.393,2.016,90.932
train08,M,webcam_r,240,120,1.393,2.373,90.932
train08,GEN,basler,0,0,nan,3.284,nan
train08,GEN,webcam_l,0,0,nan,3.988,nan
train08,GEN,webcam_c,0,0,nan,3.799,nan
train08,GEN,webcam_r,0,0,nan,3.891,nan
train08,S_cross,webcam_l,0,0,nan,3.479,nan
train08,S_cross,webcam_c,0,0,nan,2.412,nan
train08,S_cross,webcam_r,0,0,nan,4.118,nan
train07,T,basler,60,60,0.488,0.633,89.744
train07,Tk,basler,30,30,0.377,0.689,89.692
train07,S,basler,60,30,0.285,0.668,89.695
train07,T,webcam_l,60,60,0.444,0.646,90.360
train07,Tk,webcam_l,30,30,0.359,0.620,90.417
train07,S,webcam_l,60,30,0.272,0.610,90.419
train07,T,webcam_c,60,60,0.519,0.736,90.178
train07,Tk,webcam_c,30,30,0.409,0.698,90.181
train07,S,webcam_c,60,30,0.316,0.674,90.125
train07,T,webcam_r,60,60,0.492,0.705,90.278
train07,Tk,webcam_r,30,30,0.391,0.648,90.097
train07,S,webcam_r,60,30,0.279,0.638,90.212
train07,S240,basler,228,114,0.293,0.678,89.721
train07,F,basler,240,0,nan,3.526,90.017
train07,F,webcam_l,240,0,nan,1.396,90.017
train07,F,webcam_c,240,0,nan,0.915,90.017
train07,F,webcam_r,240,0,nan,1.873,90.017
train07,M,basler,240,120,0.824,3.353,90.461
train07,M,webcam_l,240,120,0.824,1.262,90.461
train07,M,webcam_c,240,120,0.824,0.883,90.461
train07,M,webcam_r,240,120,0.824,1.660,90.461
train07,GEN,basler,0,0,nan,3.352,nan
train07,GEN,webcam_l,0,0,nan,2.692,nan
train07,GEN,webcam_c,0,0,nan,2.740,nan
train07,GEN,webcam_r,0,0,nan,2.805,nan
train07,S_cross,webcam_l,0,0,nan,3.139,nan
train07,S_cross,webcam_c,0,0,nan,2.245,nan
train07,S_cross,webcam_r,0,0,nan,3.602,nan
train09,T,basler,60,60,0.349,0.455,89.083
train09,Tk,basler,30,30,0.265,0.461,89.137
train09,S,basler,60,30,0.227,0.439,89.195
train09,T,webcam_l,60,60,0.461,0.744,89.692
train09,Tk,webcam_l,30,30,0.371,0.615,90.075
train09,S,webcam_l,60,30,0.266,0.570,90.627
train09,T,webcam_c,60,60,0.470,0.601,89.657
train09,Tk,webcam_c,30,30,0.369,0.570,89.260
train09,S,webcam_c,60,30,0.281,0.532,89.091
train09,T,webcam_r,60,60,0.526,0.594,89.518
train09,Tk,webcam_r,30,30,0.411,0.559,89.513
train09,S,webcam_r,60,30,0.325,0.539,89.736
train09,S240,basler,231,115,0.239,0.423,89.228
train09,F,basler,240,0,nan,3.167,89.134
train09,F,webcam_l,240,0,nan,3.006,89.134
train09,F,webcam_c,240,0,nan,1.215,89.134
train09,F,webcam_r,240,0,nan,3.598,89.134
train09,M,basler,240,120,1.086,1.365,89.769
train09,M,webcam_l,240,120,1.086,2.667,89.769
train09,M,webcam_c,240,120,1.086,1.406,89.769
train09,M,webcam_r,240,120,1.086,3.324,89.769
train09,GEN,basler,0,0,nan,5.812,nan
train09,GEN,webcam_l,0,0,nan,5.196,nan
train09,GEN,webcam_c,0,0,nan,5.854,nan
train09,GEN,webcam_r,0,0,nan,5.750,nan
train09,S_cross,webcam_l,0,0,nan,4.786,nan
train09,S_cross,webcam_c,0,0,nan,3.273,nan
train09,S_cross,webcam_r,0,0,nan,5.544,nan
train03,T,basler,60,60,0.237,0.340,89.771
train03,Tk,basler,30,30,0.191,0.343,89.807
train03,S,basler,60,30,0.156,0.335,89.860
train03,T,webcam_l,60,60,0.235,0.360,90.486
train03,Tk,webcam_l,30,30,0.191,0.349,90.185
train03,S,webcam_l,60,30,0.164,0.345,90.340
train03,T,webcam_c,60,60,0.231,0.359,90.081
train03,Tk,webcam_c,30,30,0.179,0.341,90.043
train03,S,webcam_c,60,30,0.159,0.337,90.042
train03,T,webcam_r,60,60,0.348,0.473,89.086
train03,Tk,webcam_r,30,30,0.262,0.442,89.118
train03,S,webcam_r,60,30,0.240,0.424,89.183
train03,S240,basler,190,95,0.156,0.345,89.834
train03,F,basler,240,0,nan,1.878,90.092
train03,F,webcam_l,240,0,nan,1.156,90.092
train03,F,webcam_c,240,0,nan,0.631,90.092
train03,F,webcam_r,240,0,nan,1.831,90.092
train03,M,basler,240,120,0.564,1.675,89.865
train03,M,webcam_l,240,120,0.564,0.633,89.865
train03,M,webcam_c,240,120,0.564,0.844,89.865
train03,M,webcam_r,240,120,0.564,1.784,89.865
train03,GEN,basler,0,0,nan,3.338,nan
train03,GEN,webcam_l,0,0,nan,2.531,nan
train03,GEN,webcam_c,0,0,nan,2.571,nan
train03,GEN,webcam_r,0,0,nan,3.308,nan
train03,S_cross,webcam_l,0,0,nan,2.227,nan
train03,S_cross,webcam_c,0,0,nan,1.930,nan
train03,S_cross,webcam_r,0,0,nan,3.117,nan
train06,T,basler,60,60,1.157,1.214,89.224
train06,Tk,basler,30,30,0.880,0.860,89.203
train06,S,basler,60,30,0.361,0.607,89.571
train06,T,webcam_l,60,60,0.571,0.715,89.508
train06,Tk,webcam_l,30,30,0.480,0.701,89.507
train06,S,webcam_l,60,30,0.410,0.694,89.440
train06,T,webcam_c,60,60,0.450,0.630,89.428
train06,Tk,webcam_c,30,30,0.359,0.632,89.438
train06,S,webcam_c,60,30,0.302,0.640,89.545
train06,T,webcam_r,60,60,0.474,0.570,89.114
train06,Tk,webcam_r,30,30,0.414,0.565,89.110
train06,S,webcam_r,60,30,0.349,0.553,89.510
train06,S240,basler,228,114,0.400,0.608,89.962
train06,F,basler,240,0,nan,3.008,89.547
train06,F,webcam_l,240,0,nan,2.701,89.547
train06,F,webcam_c,240,0,nan,1.066,89.547
train06,F,webcam_r,240,0,nan,2.518,89.547
train06,M,basler,240,120,1.028,1.489,89.288
train06,M,webcam_l,240,120,1.028,1.696,89.288
train06,M,webcam_c,240,120,1.028,1.240,89.288
train06,M,webcam_r,240,120,1.028,2.030,89.288
train06,GEN,basler,0,0,nan,4.104,nan
train06,GEN,webcam_l,0,0,nan,5.017,nan
train06,GEN,webcam_c,0,0,nan,4.217,nan
train06,GEN,webcam_r,0,0,nan,4.993,nan
train06,S_cross,webcam_l,0,0,nan,4.240,nan
train06,S_cross,webcam_c,0,0,nan,3.022,nan
train06,S_cross,webcam_r,0,0,nan,4.072,nan
train10,T,basler,60,60,0.414,0.510,89.995
train10,Tk,basler,30,30,0.290,0.530,89.969
train10,S,basler,60,30,0.259,0.520,89.964
train10,T,webcam_l,60,60,0.378,0.522,90.378
train10,Tk,webcam_l,30,30,0.293,0.523,90.309
train10,S,webcam_l,60,30,0.260,0.516,90.642
train10,T,webcam_c,60,60,0.420,0.542,89.862
train10,Tk,webcam_c,30,30,0.294,0.531,90.012
train10,S,webcam_c,60,30,0.257,0.529,89.931
train10,T,webcam_r,60,60,0.472,0.605,89.472
train10,Tk,webcam_r,30,30,0.351,0.588,89.584
train10,S,webcam_r,60,30,0.296,0.587,89.596
train10,S240,basler,229,114,0.291,0.506,89.953
train10,F,basler,240,0,nan,2.646,89.956
train10,F,webcam_l,240,0,nan,1.807,89.956
train10,F,webcam_c,240,0,nan,0.971,89.956
train10,F,webcam_r,240,0,nan,2.726,89.956
train10,M,basler,240,120,1.054,2.032,89.821
train10,M,webcam_l,240,120,1.054,1.201,89.821
train10,M,webcam_c,240,120,1.054,1.587,89.821
train10,M,webcam_r,240,120,1.054,1.963,89.821
train10,GEN,basler,0,0,nan,3.360,nan
train10,GEN,webcam_l,0,0,nan,2.515,nan
train10,GEN,webcam_c,0,0,nan,3.073,nan
train10,GEN,webcam_r,0,0,nan,3.899,nan
train10,S_cross,webcam_l,0,0,nan,3.484,nan
train10,S_cross,webcam_c,0,0,nan,2.965,nan
train10,S_cross,webcam_r,0,0,nan,4.688,nan
train14,T,webcam_l,60,60,0.439,0.611,90.755
train14,Tk,webcam_l,30,30,0.322,0.588,90.653
train14,S,webcam_l,60,30,0.244,0.600,90.952
train14,T,webcam_c,60,60,0.491,0.704,90.770
train14,Tk,webcam_c,30,30,0.354,0.630,90.629
train14,S,webcam_c,60,30,0.304,0.581,90.632
train14,T,webcam_r,60,60,0.485,0.689,90.435
train14,Tk,webcam_r,30,30,0.343,0.675,90.440
train14,S,webcam_r,60,30,0.310,0.679,90.548
train14,F,basler,180,0,nan,4.821,90.667
train14,F,webcam_l,180,0,nan,2.566,90.667
train14,F,webcam_c,180,0,nan,1.419,90.667
train14,F,webcam_r,180,0,nan,3.033,90.667
train14,M,basler,240,120,1.299,2.144,91.179
train14,M,webcam_l,240,120,1.299,2.557,91.179
train14,M,webcam_c,240,120,1.299,1.197,91.179
train14,M,webcam_r,240,120,1.299,3.459,91.179
train14,GEN,basler,0,0,nan,3.595,nan
train14,GEN,webcam_l,0,0,nan,2.928,nan
train14,GEN,webcam_c,0,0,nan,2.973,nan
train14,GEN,webcam_r,0,0,nan,3.060,nan
train22,T,webcam_l,60,60,0.389,0.468,90.184
train22,Tk,webcam_l,30,30,0.291,0.472,89.876
train22,S,webcam_l,60,30,0.262,0.466,90.019
train22,T,webcam_c,60,60,0.401,0.537,89.845
train22,Tk,webcam_c,30,30,0.325,0.523,89.847
train22,S,webcam_c,60,30,0.276,0.526,89.870
train22,T,webcam_r,60,60,0.465,0.577,90.164
train22,Tk,webcam_r,30,30,0.355,0.601,90.171
train22,S,webcam_r,60,30,0.321,0.593,90.297
train22,F,basler,180,0,nan,4.158,89.891
train22,F,webcam_l,180,0,nan,2.258,89.891
train22,F,webcam_c,180,0,nan,0.744,89.891
train22,F,webcam_r,180,0,nan,2.095,89.891
train22,M,basler,240,120,0.721,4.081,90.151
train22,M,webcam_l,240,120,0.721,1.003,90.151
train22,M,webcam_c,240,120,0.721,0.807,90.151
train22,M,webcam_r,240,120,0.721,1.967,90.151
train22,GEN,basler,0,0,nan,3.457,nan
train22,GEN,webcam_l,0,0,nan,3.750,nan
train22,GEN,webcam_c,0,0,nan,3.908,nan
train22,GEN,webcam_r,0,0,nan,4.219,nan
train13,T,basler,60,60,0.440,0.616,89.968
train13,Tk,basler,30,30,0.351,0.615,89.960
train13,S,basler,60,30,0.298,0.576,90.038
train13,T,webcam_l,60,60,0.603,0.886,90.672
train13,Tk,webcam_l,30,30,0.431,0.878,90.496
train13,S,webcam_l,60,30,0.417,0.854,90.698
train13,T,webcam_c,60,60,0.547,0.817,89.925
train13,Tk,webcam_c,30,30,0.386,0.795,90.015
train13,S,webcam_c,60,30,0.331,0.754,90.134
train13,T,webcam_r,60,60,0.767,1.045,89.227
train13,Tk,webcam_r,30,30,0.575,0.963,89.639
train13,S,webcam_r,60,30,0.492,0.953,89.684
train13,S240,basler,227,113,0.301,0.565,89.847
train13,F,basler,240,0,nan,3.890,90.074
train13,F,webcam_l,240,0,nan,2.815,90.074
train13,F,webcam_c,240,0,nan,1.584,90.074
train13,F,webcam_r,240,0,nan,2.771,90.074
train13,M,basler,240,120,1.330,2.261,89.835
train13,M,webcam_l,240,120,1.330,1.369,89.835
train13,M,webcam_c,240,120,1.330,1.781,89.835
train13,M,webcam_r,240,120,1.330,2.133,89.835
train13,GEN,basler,0,0,nan,4.829,nan
train13,GEN,webcam_l,0,0,nan,4.850,nan
train13,GEN,webcam_c,0,0,nan,4.591,nan
train13,GEN,webcam_r,0,0,nan,4.903,nan
train13,S_cross,webcam_l,0,0,nan,3.860,nan
train13,S_cross,webcam_c,0,0,nan,3.085,nan
train13,S_cross,webcam_r,0,0,nan,4.460,nan
train23,T,webcam_l,60,60,0.498,0.647,89.176
train23,Tk,webcam_l,30,30,0.365,0.564,89.258
train23,S,webcam_l,60,30,0.272,0.555,89.282
train23,T,webcam_c,60,60,0.466,0.656,89.160
train23,Tk,webcam_c,30,30,0.381,0.542,89.175
train23,S,webcam_c,60,30,0.256,0.523,89.109
train23,T,webcam_r,60,60,0.532,0.750,89.971
train23,Tk,webcam_r,30,30,0.417,0.662,89.669
train23,S,webcam_r,60,30,0.351,0.658,89.873
train23,F,basler,180,0,nan,4.605,89.331
train23,F,webcam_l,180,0,nan,1.864,89.331
train23,F,webcam_c,180,0,nan,1.103,89.331
train23,F,webcam_r,180,0,nan,2.187,89.331
train23,M,basler,240,120,0.905,5.203,89.864
train23,M,webcam_l,240,120,0.905,1.363,89.864
train23,M,webcam_c,240,120,0.905,0.755,89.864
train23,M,webcam_r,240,120,0.905,2.427,89.864
train23,GEN,basler,0,0,nan,3.997,nan
train23,GEN,webcam_l,0,0,nan,4.794,nan
train23,GEN,webcam_c,0,0,nan,4.045,nan
train23,GEN,webcam_r,0,0,nan,4.708,nan
train15,T,basler,60,60,0.396,0.536,89.817
train15,Tk,basler,30,30,0.313,0.551,89.805
train15,S,basler,60,30,0.296,0.552,89.838
train15,T,webcam_l,60,60,0.449,0.560,90.313
train15,Tk,webcam_l,30,30,0.347,0.564,90.173
train15,S,webcam_l,60,30,0.296,0.536,90.670
train15,T,webcam_c,60,60,0.423,0.533,89.359
