session,n_groups,train_rms_med_px,test_rms_med_px,test_rms_generic_med_px,improvement_x,iod_mean_mm
00488,3,0.41,0.8,1.39,1.7,91.5
00493,1,0.53,0.94,2.61,2.8,90.1
00494,3,0.47,0.9,1.32,1.5,90.1
00495,2,0.6,1.45,1.75,1.2,90.8
00496,3,0.49,0.9,2.96,3.3,89.0
00499,2,0.63,1.04,3.6,3.5,89.2
00500,4,0.39,0.69,2.55,3.7,90.3
00501,1,0.7,1.19,1.94,1.6,90.2
00503,3,0.45,0.79,1.65,2.1,91.3
00505,1,0.95,1.67,1.87,1.1,90.3
00507,3,0.55,1.31,1.82,1.4,91.3
00509,3,0.45,0.75,1.99,2.7,90.5
00510,3,0.91,1.52,2.27,1.5,89.8
00512,3,0.68,1.65,1.74,1.1,89.8
00513,3,0.51,0.9,1.66,1.9,90.1
00519,3,0.48,1.11,3.59,3.2,89.2
00520,3,0.35,0.66,2.2,3.3,90.3
00521,2,0.34,0.72,1.67,2.3,89.5
00522,3,0.43,0.78,2.65,3.4,89.1
00525,3,0.55,1.3,1.53,1.2,90.9
00531,3,0.54,1.08,1.73,1.6,91.0
00534,3,0.3,0.59,2.33,4.0,89.8
00535,2,0.62,1.31,1.79,1.4,90.3
00539,2,0.72,1.58,2.33,1.5,89.8
00540,2,0.64,1.04,2.83,2.7,91.7
00545,3,0.59,1.02,1.3,1.3,90.6
00546,2,0.58,1.18,2.05,1.7,89.4
00547,3,0.87,1.57,2.26,1.4,89.7
00548,3,0.38,1.0,1.78,1.8,90.1
00550,3,0.67,1.31,3.31,2.5,89.4
00553,1,0.97,1.83,2.43,1.3,89.4
00554,2,0.65,1.25,2.51,2.0,90.3
00555,3,0.36,0.85,1.71,2.0,89.8
00560,2,0.67,1.46,2.95,2.0,89.1
00563,3,0.73,1.16,1.65,1.4,90.4
00565,2,0.71,1.47,2.85,1.9,90.6
00566,3,0.37,0.96,3.02,3.1,88.7
00572,3,0.22,0.43,2.78,6.5,89.7
00574,2,0.74,1.29,3.52,2.7,90.2
00575,2,0.52,1.12,1.98,1.8,90.6
00580,2,0.37,0.82,2.05,2.5,90.3
00581,3,0.8,1.49,3.12,2.1,89.2
00585,3,0.63,1.12,1.95,1.7,91.1
00588,1,0.26,0.49,2.07,4.3,90.7
00595,2,0.44,1.09,2.39,2.2,89.6
00597,3,0.69,1.78,2.18,1.2,90.9
00600,3,0.44,0.98,1.9,1.9,89.7
00601,2,0.89,1.64,2.24,1.4,90.4
00602,1,0.89,1.59,2.48,1.6,90.2
00605,3,0.8,1.51,2.26,1.5,89.7
00606,2,0.36,0.73,1.76,2.4,90.4
00607,3,0.47,1.25,1.5,1.2,91.2
00610,3,0.75,1.47,1.58,1.1,90.8
00611,3,0.46,0.92,3.01,3.3,88.8
00616,3,0.52,1.11,2.3,2.1,89.6
00618,1,0.96,1.72,1.98,1.1,89.8
00622,2,0.81,1.82,3.14,1.7,90.1
00623,3,0.17,0.35,1.52,4.4,91.0
00624,3,0.64,1.3,2.03,1.6,89.8
00626,2,0.96,1.71,2.11,1.2,90.2
00636,2,0.83,1.45,2.17,1.5,89.0
00641,1,0.47,1.11,2.46,2.2,90.1
00642,3,0.69,1.37,2.31,1.7,91.0
00644,2,0.59,1.22,1.62,1.3,91.3
00646,3,0.54,0.94,2.11,2.3,90.2
00650,2,0.56,1.21,4.24,3.5,90.2
00653,4,0.45,1.06,2.47,2.3,89.3
00654,3,0.64,1.19,2.43,2.0,89.3
00661,3,0.48,1.23,1.83,1.5,90.7
00666,2,0.44,0.88,1.97,2.2,89.8
00667,1,0.64,1.17,0.9,0.8,91.9
00668,2,0.5,1.0,2.66,2.7,90.8
00669,2,0.71,1.2,1.54,1.3,91.6
00672,3,0.31,0.58,1.64,2.8,91.2
00676,1,0.65,1.58,2.93,1.9,89.3
00678,3,0.48,0.97,2.17,2.2,89.6
00679,2,0.51,1.06,1.3,1.2,90.6
00680,1,0.82,1.52,2.03,1.3,89.1
00682,3,0.67,1.18,2.2,1.9,90.1
00683,3,0.62,1.25,3.48,2.8,90.9
00686,2,0.85,1.67,2.57,1.5,89.7
00688,1,0.68,1.05,2.15,2.0,90.8
00690,3,0.41,0.71,2.56,3.6,90.3
00691,3,0.46,1.0,1.23,1.2,90.8
00694,2,0.62,1.3,2.14,1.6,89.6
00695,1,0.65,1.25,2.5,2.0,90.0
00696,3,0.55,1.25,2.57,2.1,89.4
00700,3,0.58,1.12,2.42,2.2,90.6
00704,2,0.76,1.43,1.65,1.2,90.2
00706,3,0.56,0.95,2.73,2.9,89.1
00710,3,0.67,1.7,2.63,1.5,90.7
00712,2,0.47,0.83,2.16,2.6,90.0
00714,2,0.24,0.43,1.61,3.7,89.8
00718,3,0.59,1.08,3.25,3.0,89.8
00719,3,0.18,0.29,2.32,7.9,90.0
00721,3,0.69,1.14,1.63,1.4,91.4
00722,3,0.64,1.1,2.4,2.2,89.2
00729,1,0.57,1.04,2.71,2.6,89.2
00730,3,0.72,1.34,2.12,1.6,90.4
00732,3,0.35,0.69,2.95,4.3,89.2
00737,3,0.77,1.43,1.51,1.1,90.8
00740,3,0.21,0.65,2.05,3.2,90.6
00741,3,0.29,0.58,2.07,3.6,91.6
00743,2,0.74,1.48,2.01,1.4,90.0
00747,3,0.5,0.92,1.73,1.9,91.2
00748,3,0.65,1.62,2.63,1.6,89.6
00750,2,0.31,0.63,1.97,3.2,89.4
00753,1,0.73,1.21,1.56,1.3,90.8
00755,2,0.66,1.2,2.67,2.2,90.8
00757,2,0.81,1.56,2.52,1.6,90.5
00764,1,0.85,1.29,1.87,1.4,90.6
00767,3,0.52,0.83,1.75,2.1,91.0
00771,2,0.64,1.79,2.11,1.2,89.1
00772,3,0.63,1.35,2.16,1.6,89.4
