# 相机数 10 | train RMS 中位 3.31 px | test RMS 中位 6.57 px | 通用模型 test RMS 中位 21.09 px | 改善 3.2x | IOD 均值 89.8 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.21  6.07  18.01  90.6
cam01  30  3.19  6.46  19.08  90.8
cam02  30  3.30  7.05  30.48  89.1
cam03  30  3.23  6.45  27.81  89.0
cam06  30  2.40  4.58  17.21  89.6
cam07  30  3.31  5.45  18.76  89.4
cam08  30  3.32  7.45  20.60  90.3
cam09  30  3.74  6.69  21.59  90.1
cam16  30  4.14  8.35  29.84  89.6
cam17  30  3.52  7.09  24.42  89.7
