# 相机数 11 | train RMS 中位 3.90 px | test RMS 中位 7.62 px | 通用模型 test RMS 中位 25.44 px | 改善 3.3x | IOD 均值 90.1 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.34  7.07  18.58  90.9
cam01  30  4.09  7.62  21.42  90.6
cam02  30  3.78  8.45  32.60  90.9
cam04  30  3.20  6.52  11.24  90.5
cam05  30  2.99  5.38  10.65  90.8
cam07  30  4.03  6.64  23.74  90.5
cam08  30  4.23  8.56  25.44  91.2
cam09  30  4.64  8.79  28.39  88.8
cam10  30  3.92  8.25  46.07  89.0
cam16  30  3.90  7.99  37.48  89.2
cam17  30  3.26  6.15  33.83  88.9
