# 相机数 10 | train RMS 中位 2.57 px | test RMS 中位 4.59 px | 通用模型 test RMS 中位 23.04 px | 改善 5.0x | IOD 均值 90.1 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.27  3.95  16.59  90.7
cam01  30  2.29  4.43  16.11  91.2
cam02  30  2.59  5.07  27.05  89.7
cam03  30  2.27  4.45  23.32  89.0
cam07  30  2.25  3.77  16.09  89.6
cam08  30  2.76  4.65  22.01  91.1
cam09  30  2.55  4.54  22.76  90.2
cam10  30  4.20  7.01  35.52  88.8
cam16  30  2.92  5.46  26.59  90.3
cam17  30  3.01  5.42  29.20  90.0
