# 相机数 10 | train RMS 中位 2.93 px | test RMS 中位 5.97 px | 通用模型 test RMS 中位 22.33 px | 改善 3.7x | IOD 均值 90.0 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.30  5.86  16.82  90.2
cam01  30  2.79  5.28  17.24  90.4
cam02  30  3.10  6.41  25.04  89.8
cam03  30  2.34  4.57  20.72  89.8
cam07  30  2.79  5.38  23.26  89.4
cam08  30  3.64  6.34  19.77  89.8
cam09  30  4.27  6.08  21.40  89.3
cam10  30  3.07  6.50  36.06  89.5
cam16  30  2.79  5.15  34.37  91.6
cam17  30  3.88  6.25  26.13  89.8
