# 相机数 10 | train RMS 中位 3.66 px | test RMS 中位 7.74 px | 通用模型 test RMS 中位 29.45 px | 改善 3.8x | IOD 均值 89.2 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.99  7.81  25.40  89.5
cam01  30  3.39  7.00  29.07  89.4
cam02  30  3.61  7.53  33.20  89.1
cam03  30  3.06  6.17  28.69  88.7
cam07  30  4.18  8.46  29.84  89.2
cam08  30  4.18  7.38  28.51  89.1
cam09  30  3.71  8.74  30.25  89.0
cam10  30  4.01  9.43  41.67  88.5
cam16  30  3.12  7.66  37.29  89.9
cam17  30  3.29  8.46  28.07  89.8
