# 相机数 10 | train RMS 中位 2.68 px | test RMS 中位 5.40 px | 通用模型 test RMS 中位 23.22 px | 改善 4.3x | IOD 均值 90.0 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.71  5.83  20.43  90.7
cam01  29  2.65  5.77  19.41  90.6
cam02  30  2.58  5.03  23.12  89.7
cam03  30  2.19  4.69  20.60  89.4
cam07  30  2.20  5.00  23.33  90.5
cam08  29  2.97  5.09  25.23  89.8
cam09  29  3.38  5.70  21.81  90.2
cam10  29  2.75  7.68  33.77  89.6
cam16  29  3.88  7.27  33.61  89.9
cam17  29  2.51  4.78  30.20  89.4
