# 相机数 10 | train RMS 中位 3.15 px | test RMS 中位 5.95 px | 通用模型 test RMS 中位 22.04 px | 改善 3.7x | IOD 均值 89.7 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.47  6.23  20.96  90.0
cam01  30  2.94  5.89  21.90  90.0
cam02  30  3.47  6.62  30.11  89.7
cam03  30  2.31  4.79  27.91  89.6
cam07  30  2.82  5.07  22.18  88.9
cam08  30  3.63  5.85  17.83  90.0
cam09  30  3.91  5.84  19.23  89.9
cam10  30  4.46  9.96  35.15  88.5
cam16  30  3.37  6.38  28.89  90.1
cam17  30  2.40  6.00  20.85  90.2
