# 相机数 9 | train RMS 中位 4.32 px | test RMS 中位 7.08 px | 通用模型 test RMS 中位 25.12 px | 改善 3.5x | IOD 均值 89.4 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  4.33  7.09  23.74  90.0
cam01  30  4.32  7.29  25.12  90.2
cam02  30  4.57  7.82  32.37  89.0
cam07  30  3.94  6.21  28.25  89.2
cam08  30  4.03  6.17  21.88  89.3
cam09  30  4.03  5.97  21.64  89.9
cam10  30  6.35  10.95  41.28  88.2
cam16  30  4.38  7.08  32.59  89.1
cam17  30  3.25  5.14  23.43  89.6
