# 相机数 9 | train RMS 中位 3.34 px | test RMS 中位 6.50 px | 通用模型 test RMS 中位 19.86 px | 改善 3.1x | IOD 均值 89.7 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.04  4.88  18.02  90.2
cam01  30  2.59  5.83  19.51  90.4
cam02  30  3.47  6.50  26.12  89.5
cam07  30  3.03  6.39  23.16  88.7
cam08  30  3.34  6.54  17.66  89.8
cam09  30  3.90  7.05  19.86  89.9
cam10  30  5.43  10.57  35.18  88.2
cam16  30  3.90  10.51  28.29  90.5
cam17  30  2.87  5.44  17.44  89.7
