# 相机数 12 | train RMS 中位 2.25 px | test RMS 中位 4.36 px | 通用模型 test RMS 中位 25.47 px | 改善 5.8x | IOD 均值 89.9 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.18  4.34  21.46  90.8
cam01  30  2.32  4.28  24.51  90.7
cam02  30  2.14  4.37  23.40  90.7
cam03  30  1.92  3.31  22.06  89.8
cam04  30  1.39  2.68  18.90  90.2
cam06  30  2.08  4.04  23.93  89.5
cam07  30  2.07  4.15  26.42  90.1
cam08  30  2.70  4.69  29.21  90.5
cam09  30  2.85  5.01  29.31  89.8
cam10  30  4.26  7.97  38.41  88.6
cam16  30  3.64  7.48  40.27  88.5
cam17  30  4.49  7.22  32.79  89.5
