# 相机数 13 | train RMS 中位 3.70 px | test RMS 中位 7.32 px | 通用模型 test RMS 中位 26.47 px | 改善 3.6x | IOD 均值 89.7 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.88  7.48  18.32  90.1
cam01  30  3.71  6.31  19.81  90.4
cam02  30  4.15  9.62  30.86  89.7
cam03  30  2.57  5.38  28.43  88.8
cam04  30  2.32  3.99  15.99  90.5
cam05  30  2.24  4.62  16.71  89.7
cam06  30  2.80  5.79  23.24  89.7
cam07  30  3.70  8.28  26.47  89.0
cam08  30  3.90  7.83  24.86  89.5
cam09  30  4.28  7.32  27.73  89.7
cam10  30  5.05  8.82  40.43  90.2
cam16  30  3.70  8.44  40.31  89.8
cam17  30  2.47  4.56  30.50  89.2
