# 相机数 9 | train RMS 中位 2.96 px | test RMS 中位 6.34 px | 通用模型 test RMS 中位 30.04 px | 改善 4.7x | IOD 均值 89.3 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.95  6.34  26.75  89.8
cam01  30  2.93  5.67  28.69  90.2
cam02  30  3.55  6.63  33.59  87.6
cam07  30  2.62  5.69  30.04  87.6
cam08  30  3.56  7.86  25.77  89.7
cam09  30  4.15  6.90  28.40  89.2
cam10  30  2.41  4.63  40.35  89.6
cam16  30  3.06  7.76  38.43  90.8
cam17  30  2.96  5.58  31.85  89.3
