# 相机数 13 | train RMS 中位 2.72 px | test RMS 中位 5.01 px | 通用模型 test RMS 中位 32.11 px | 改善 6.4x | IOD 均值 89.5 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.15  5.48  22.40  90.1
cam01  30  3.12  5.47  23.92  90.1
cam02  30  3.56  6.38  37.37  89.4
cam03  30  2.59  4.75  32.11  89.3
cam04  30  1.84  4.05  16.04  90.2
cam05  30  2.06  4.06  18.47  89.7
cam06  30  3.15  5.06  27.95  90.4
cam07  30  2.97  5.01  30.66  90.2
cam08  29  2.42  4.45  33.26  89.5
cam09  29  2.72  5.09  34.40  89.0
cam10  29  4.87  6.38  43.42  87.7
cam16  29  2.47  4.45  41.41  88.6
cam17  29  1.76  3.00  36.44  88.8
