# 相机数 10 | train RMS 中位 3.07 px | test RMS 中位 6.04 px | 通用模型 test RMS 中位 21.58 px | 改善 3.6x | IOD 均值 90.0 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.80  5.55  14.70  90.4
cam01  30  3.30  6.03  17.19  90.5
cam02  30  3.69  7.62  25.22  89.9
cam03  30  3.11  5.77  23.87  89.7
cam07  30  2.60  5.21  15.90  90.2
cam08  30  3.03  6.04  19.29  90.2
cam09  30  2.75  5.51  18.31  90.4
cam10  30  3.82  8.21  34.98  88.3
cam16  30  2.88  7.97  27.29  90.5
cam17  30  3.44  6.17  25.02  89.9
