# 相机数 11 | train RMS 中位 3.00 px | test RMS 中位 5.45 px | 通用模型 test RMS 中位 21.31 px | 改善 3.9x | IOD 均值 90.2 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  29  2.82  4.97  16.85  90.3
cam01  29  2.80  5.45  16.31  90.7
cam02  29  3.00  7.55  26.93  90.0
cam03  30  2.38  5.41  23.64  89.6
cam04  29  1.83  3.22  14.43  90.0
cam07  30  2.49  5.37  21.31  90.5
cam08  29  4.17  6.94  21.70  89.8
cam09  29  3.69  6.55  18.51  90.1
cam10  29  5.15  10.55  36.89  88.6
cam16  29  3.58  10.23  33.81  92.2
cam17  29  3.34  5.43  20.21  90.1
