# 相机数 10 | train RMS 中位 3.30 px | test RMS 中位 6.65 px | 通用模型 test RMS 中位 23.49 px | 改善 3.5x | IOD 均值 90.0 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.56  6.74  22.17  90.2
cam01  30  4.07  6.96  21.29  90.1
cam02  30  3.83  8.50  27.26  89.5
cam03  30  3.24  7.49  25.08  90.0
cam07  30  3.35  6.11  22.88  89.8
cam08  30  2.71  5.52  21.89  90.1
cam09  30  3.26  5.74  18.82  90.3
cam10  30  4.02  9.77  31.98  89.8
cam16  30  2.92  6.52  29.96  89.8
cam17  30  3.14  6.55  24.09  90.0
