# 相机数 12 | train RMS 中位 3.29 px | test RMS 中位 6.15 px | 通用模型 test RMS 中位 31.55 px | 改善 5.1x | IOD 均值 89.4 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.67  6.36  28.23  89.8
cam01  30  3.52  6.22  30.57  90.1
cam02  30  2.79  6.08  27.59  89.2
cam03  30  2.15  4.08  27.18  89.3
cam04  29  2.75  5.26  19.68  89.3
cam06  29  2.70  4.83  28.31  90.6
cam07  30  3.06  5.72  32.53  89.2
cam08  29  4.04  8.42  37.42  89.9
cam09  29  5.68  10.00  39.68  89.5
cam10  29  4.41  10.49  52.69  87.7
cam16  29  3.53  6.56  54.17  89.4
cam17  29  2.55  4.79  41.31  89.1
