# 相机数 9 | train RMS 中位 3.12 px | test RMS 中位 6.42 px | 通用模型 test RMS 中位 28.36 px | 改善 4.4x | IOD 均值 89.6 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.50  4.86  19.30  90.4
cam01  30  2.77  4.80  20.94  90.4
cam02  30  3.28  6.46  33.68  89.2
cam07  30  2.53  5.06  27.15  88.2
cam08  30  3.56  7.44  28.09  89.4
cam09  30  4.63  7.57  31.24  88.4
cam10  30  3.17  6.42  41.47  90.7
cam16  30  3.03  6.47  32.82  90.7
cam17  30  3.12  5.76  28.36  89.3
