# 相机数 10 | train RMS 中位 3.08 px | test RMS 中位 6.48 px | 通用模型 test RMS 中位 24.93 px | 改善 3.8x | IOD 均值 90.2 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.96  5.46  12.96  90.7
cam01  30  2.51  5.79  14.74  91.0
cam02  30  3.40  6.75  25.80  90.9
cam03  30  2.52  5.64  22.45  90.0
cam07  30  2.84  6.21  21.40  91.4
cam08  30  3.87  9.65  24.07  89.5
cam09  30  4.76  9.62  26.75  89.0
cam10  30  5.04  11.52  40.29  89.8
cam16  30  3.20  10.90  32.19  90.3
cam17  30  2.89  5.94  29.55  89.0
