# 相机数 12 | train RMS 中位 3.15 px | test RMS 中位 5.45 px | 通用模型 test RMS 中位 22.68 px | 改善 4.2x | IOD 均值 89.5 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.20  4.58  20.49  90.1
cam01  30  2.78  5.11  22.77  90.2
cam02  30  2.77  5.52  32.28  89.1
cam03  30  2.43  4.36  29.54  89.1
cam04  30  1.72  2.76  22.60  89.6
cam06  30  2.70  4.28  22.29  88.7
cam07  30  3.10  5.38  22.00  89.0
cam08  30  4.29  6.37  21.63  89.9
cam09  30  3.69  7.24  21.70  90.2
cam10  30  5.38  13.80  41.88  87.9
cam16  30  3.52  7.54  32.29  89.8
cam17  30  4.00  12.27  27.09  90.1
