# 相机数 11 | train RMS 中位 2.60 px | test RMS 中位 6.25 px | 通用模型 test RMS 中位 36.63 px | 改善 5.9x | IOD 均值 88.7 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  29  3.26  6.47  31.33  89.5
cam01  29  3.25  6.34  35.95  89.4
cam02  29  2.68  8.17  44.93  89.1
cam03  30  2.17  6.25  37.57  88.3
cam06  29  2.56  5.32  31.93  88.4
cam07  29  3.14  6.98  36.19  88.9
cam08  29  2.03  4.52  36.22  89.2
cam09  29  2.43  5.11  36.63  88.8
cam10  29  2.86  6.99  52.08  87.8
cam16  29  2.60  4.03  50.49  87.6
cam17  29  2.05  4.60  39.90  88.9
