# 相机数 10 | train RMS 中位 4.42 px | test RMS 中位 8.00 px | 通用模型 test RMS 中位 26.39 px | 改善 3.3x | IOD 均值 89.7 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  4.15  7.09  17.19  90.6
cam01  30  4.39  7.71  18.64  90.8
cam02  30  4.35  7.37  30.40  89.1
cam03  30  3.36  7.10  27.86  90.4
cam07  30  3.37  6.92  23.00  89.2
cam08  29  5.42  9.11  23.57  90.0
cam09  30  5.92  9.05  24.91  89.9
cam10  29  7.78  11.83  46.38  87.7
cam16  29  5.82  12.23  37.33  89.7
cam17  29  4.45  8.30  32.48  89.6
