# 相机数 13 | train RMS 中位 3.54 px | test RMS 中位 7.03 px | 通用模型 test RMS 中位 35.73 px | 改善 5.1x | IOD 均值 88.7 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.99  8.22  33.34  88.6
cam01  30  4.34  7.96  35.73  88.9
cam02  30  3.54  7.33  43.22  87.9
cam03  30  2.83  5.40  38.18  88.3
cam04  30  2.92  5.66  30.74  89.0
cam05  30  3.30  6.15  33.46  89.0
cam06  30  3.09  5.82  34.03  87.6
cam07  30  3.29  6.38  38.68  88.8
cam08  30  4.85  7.03  29.06  89.1
cam09  30  4.22  6.82  26.18  89.1
cam10  29  5.28  9.01  48.23  87.8
cam16  30  3.50  10.25  41.54  90.3
cam17  29  4.77  9.25  36.99  89.0
