# 相机数 11 | train RMS 中位 3.35 px | test RMS 中位 6.01 px | 通用模型 test RMS 中位 26.81 px | 改善 4.5x | IOD 均值 89.0 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.21  5.68  26.81  89.3
cam01  30  3.12  6.01  28.86  89.4
cam02  30  2.89  5.76  31.16  88.1
cam03  30  2.18  4.03  28.76  89.0
cam04  30  2.35  4.10  24.04  89.3
cam07  30  3.35  6.35  24.86  87.9
cam08  30  4.02  6.41  23.12  89.1
cam09  30  3.71  6.26  22.32  89.5
cam10  30  6.26  10.86  34.27  88.6
cam16  30  4.67  7.99  30.74  89.1
cam17  30  3.55  5.72  22.54  89.6
