# 相机数 9 | train RMS 中位 3.05 px | test RMS 中位 5.94 px | 通用模型 test RMS 中位 23.02 px | 改善 3.9x | IOD 均值 89.5 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.61  6.65  15.66  90.0
cam01  30  3.24  6.09  16.00  90.2
cam02  30  3.23  5.11  30.06  89.5
cam07  30  2.29  4.26  26.08  90.2
cam08  30  2.67  5.98  22.28  89.7
cam09  30  3.53  6.79  21.20  89.2
cam10  30  3.05  4.63  41.73  86.9
cam16  30  2.73  5.94  32.08  90.4
cam17  30  2.51  5.26  23.02  89.3
