# 相机数 10 | train RMS 中位 2.82 px | test RMS 中位 5.26 px | 通用模型 test RMS 中位 23.37 px | 改善 4.4x | IOD 均值 90.0 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.62  4.54  14.27  90.9
cam01  30  2.57  4.94  14.16  90.9
cam02  30  3.15  6.41  25.25  89.6
cam03  30  2.11  4.12  23.98  89.7
cam07  30  2.75  5.31  22.76  90.0
cam08  30  3.62  5.85  18.02  90.6
cam09  30  2.76  5.20  20.96  90.1
cam10  30  3.67  5.85  36.18  88.6
cam16  30  3.88  7.31  31.74  90.1
cam17  30  2.89  5.13  27.60  89.8
