# 相机数 12 | train RMS 中位 2.97 px | test RMS 中位 5.65 px | 通用模型 test RMS 中位 21.59 px | 改善 3.8x | IOD 均值 90.3 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.83  5.40  16.98  91.2
cam01  30  3.14  5.99  18.81  91.3
cam02  30  3.85  8.03  27.10  89.4
cam03  30  2.71  5.69  25.25  89.1
cam04  30  1.82  3.23  14.46  90.6
cam05  30  1.81  3.33  13.93  90.5
cam06  30  1.89  3.73  18.92  90.5
cam07  30  2.55  4.67  21.73  90.6
cam08  29  3.87  7.20  23.06  91.4
cam09  29  3.55  5.61  21.44  91.1
cam10  29  4.32  9.46  37.89  88.5
cam16  29  3.11  5.80  35.61  89.6
