# 相机数 13 | train RMS 中位 2.55 px | test RMS 中位 5.20 px | 通用模型 test RMS 中位 22.73 px | 改善 4.4x | IOD 均值 89.9 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.97  5.35  19.90  90.1
cam01  30  2.51  5.47  20.99  90.5
cam02  30  3.40  6.11  28.61  90.6
cam03  30  2.47  4.83  26.80  89.7
cam04  30  1.76  3.64  17.44  90.2
cam05  30  2.19  4.14  17.57  90.1
cam06  30  2.09  4.07  22.73  89.4
cam07  30  2.55  5.11  24.89  89.1
cam08  30  3.23  5.20  21.59  90.7
cam09  30  2.88  6.04  20.82  90.2
cam10  30  3.86  6.50  36.13  88.6
cam16  30  3.02  6.70  35.95  88.8
cam17  30  2.45  4.82  25.68  90.1
