# 相机数 10 | train RMS 中位 3.45 px | test RMS 中位 6.30 px | 通用模型 test RMS 中位 32.82 px | 改善 5.2x | IOD 均值 89.5 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.84  5.38  26.27  89.6
cam01  30  2.65  6.59  27.72  89.8
cam02  30  2.63  5.72  34.41  90.1
cam03  30  2.72  5.14  32.88  89.4
cam07  30  3.33  6.16  27.82  90.6
cam08  29  3.99  5.82  32.37  89.0
cam09  30  4.19  7.52  35.44  88.4
cam10  29  3.57  8.91  46.23  88.8
cam16  29  3.91  7.69  34.36  90.8
cam17  29  3.74  6.43  32.77  89.0
