# 相机数 9 | train RMS 中位 2.01 px | test RMS 中位 4.30 px | 通用模型 test RMS 中位 18.52 px | 改善 4.3x | IOD 均值 90.3 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.14  4.61  17.02  90.7
cam01  30  1.71  3.63  17.56  90.6
cam02  30  1.61  2.79  25.88  89.5
cam07  30  1.50  3.17  21.74  91.1
cam08  30  2.02  4.30  18.52  90.4
cam09  30  2.01  4.40  17.58  90.5
cam10  30  2.39  5.29  36.10  90.1
cam16  30  2.01  4.27  32.59  89.6
cam17  30  2.46  5.34  16.79  90.3
