# 相机数 10 | train RMS 中位 3.13 px | test RMS 中位 6.58 px | 通用模型 test RMS 中位 25.69 px | 改善 3.9x | IOD 均值 89.0 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.85  6.72  22.33  89.6
cam01  30  3.24  6.92  26.13  89.7
cam02  30  2.49  5.56  30.42  88.6
cam03  30  2.25  5.24  28.42  87.9
cam07  30  2.88  6.63  21.00  89.3
cam08  30  3.18  6.92  19.90  89.6
cam09  30  3.27  6.53  21.43  89.6
cam10  29  3.41  5.60  40.68  87.6
cam16  30  3.94  10.09  31.49  89.1
cam17  29  3.09  5.40  25.26  89.1
