# 相机数 13 | train RMS 中位 2.91 px | test RMS 中位 5.34 px | 通用模型 test RMS 中位 22.72 px | 改善 4.3x | IOD 均值 89.3 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.91  5.27  22.64  89.8
cam01  30  3.02  5.34  24.48  90.0
cam02  30  2.79  6.21  30.91  88.3
cam03  30  1.85  4.50  30.40  88.6
cam04  30  1.71  3.34  20.61  89.5
cam05  30  1.66  3.26  20.11  89.6
cam06  30  2.18  4.43  22.72  88.3
cam07  30  2.50  5.03  24.36  89.1
cam08  30  3.87  6.35  19.47  89.5
cam09  30  3.68  6.44  21.75  89.8
cam10  30  5.41  13.83  34.05  88.3
cam16  30  4.43  9.87  28.66  89.8
cam17  30  3.30  5.56  20.02  89.9
