# 相机数 10 | train RMS 中位 3.28 px | test RMS 中位 5.46 px | 通用模型 test RMS 中位 26.98 px | 改善 4.9x | IOD 均值 89.5 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.61  4.92  22.95  89.8
cam01  30  2.97  5.42  26.17  89.8
cam02  30  3.14  4.98  31.79  89.5
cam03  30  2.27  4.19  29.79  88.4
cam07  30  2.79  4.84  27.35  89.4
cam08  30  3.41  5.49  23.66  90.2
cam09  30  3.69  5.54  23.06  90.4
cam10  30  5.86  9.94  36.43  87.9
cam16  30  3.72  6.73  32.41  89.6
cam17  30  4.27  6.23  26.61  89.6
