# 相机数 11 | train RMS 中位 3.28 px | test RMS 中位 5.45 px | 通用模型 test RMS 中位 21.65 px | 改善 4.0x | IOD 均值 89.5 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.16  5.88  21.65  89.9
cam01  30  2.87  5.66  19.75  90.0
cam02  30  4.17  6.42  29.57  89.8
cam03  30  3.13  5.23  26.65  89.7
cam06  30  2.25  3.98  21.39  88.5
cam07  30  3.03  4.95  22.26  88.6
cam08  30  3.38  5.36  20.89  89.9
cam09  30  3.28  5.45  18.86  90.2
cam10  30  4.51  7.31  38.00  87.9
cam16  30  3.73  8.04  27.01  89.8
cam17  30  3.34  5.04  20.51  90.1
