# 相机数 13 | train RMS 中位 2.22 px | test RMS 中位 4.28 px | 通用模型 test RMS 中位 25.33 px | 改善 5.9x | IOD 均值 89.6 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.47  4.28  21.64  89.7
cam01  30  2.82  4.78  22.22  89.8
cam02  30  2.22  3.92  32.39  89.0
cam03  30  2.22  4.26  29.08  89.2
cam04  30  1.80  2.97  18.62  89.7
cam05  30  2.16  3.49  20.12  89.4
cam06  30  2.21  4.35  24.94  89.8
cam07  30  1.98  4.06  28.81  90.7
cam08  30  3.55  5.06  25.33  89.7
cam09  30  3.07  4.99  24.12  89.3
cam10  30  2.86  4.93  43.41  88.8
cam16  30  2.51  5.35  40.02  91.1
cam17  30  1.96  3.71  29.33  89.2
