# 相机数 10 | train RMS 中位 3.31 px | test RMS 中位 5.42 px | 通用模型 test RMS 中位 32.60 px | 改善 6.0x | IOD 均值 89.6 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.72  5.79  22.50  90.0
cam01  30  3.22  5.68  23.23  90.5
cam02  30  3.57  5.54  33.43  90.1
cam03  30  3.20  5.29  28.76  89.6
cam07  30  3.55  5.51  28.79  91.4
cam08  30  3.41  5.33  33.63  89.3
cam09  30  2.64  5.10  32.25  88.9
cam10  30  3.67  6.21  46.50  86.9
cam16  30  2.72  5.29  36.46  90.3
cam17  30  2.48  4.75  32.96  89.1
