# 相机数 10 | train RMS 中位 3.64 px | test RMS 中位 7.42 px | 通用模型 test RMS 中位 38.14 px | 改善 5.1x | IOD 均值 89.0 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  29  3.57  7.52  34.05  89.5
cam01  29  3.34  6.51  35.31  89.5
cam02  29  3.17  6.13  45.78  89.2
cam06  29  2.56  6.00  31.60  89.8
cam07  29  3.12  8.16  37.51  90.2
cam08  29  4.22  7.63  35.86  89.3
cam09  29  4.92  8.25  38.89  88.0
cam10  29  4.14  8.88  52.15  87.5
cam16  29  3.78  7.32  45.29  88.4
cam17  29  3.72  6.82  38.77  88.3
