# 相机数 11 | train RMS 中位 2.99 px | test RMS 中位 6.54 px | 通用模型 test RMS 中位 26.83 px | 改善 4.1x | IOD 均值 89.9 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.93  6.54  16.87  90.2
cam01  30  3.54  6.86  20.54  90.5
cam02  30  2.99  6.84  28.81  89.9
cam03  30  2.62  4.93  24.57  89.2
cam04  30  2.03  3.76  11.36  90.5
cam07  30  2.78  5.96  26.03  89.9
cam08  30  4.40  6.92  26.83  89.6
cam09  30  3.76  6.44  30.01  89.6
cam10  30  4.32  7.24  40.21  88.1
cam16  30  3.48  8.38  36.11  91.8
cam17  30  2.64  5.40  31.76  90.0
