# 相机数 10 | train RMS 中位 3.69 px | test RMS 中位 5.74 px | 通用模型 test RMS 中位 24.15 px | 改善 4.2x | IOD 均值 89.6 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.83  4.31  19.44  89.9
cam01  30  3.19  4.81  20.43  90.0
cam02  30  3.34  5.98  30.64  88.8
cam03  30  2.54  5.12  27.36  89.4
cam07  30  2.99  4.91  25.80  90.6
cam08  29  4.72  6.90  20.64  89.9
cam09  29  4.07  5.50  22.51  89.6
cam10  29  6.74  9.50  42.82  86.9
cam16  30  4.77  9.12  30.62  91.4
cam17  29  4.03  6.66  22.23  89.2
