# 相机数 11 | train RMS 中位 2.29 px | test RMS 中位 4.02 px | 通用模型 test RMS 中位 29.30 px | 改善 7.3x | IOD 均值 88.9 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.15  5.45  25.02  89.6
cam01  30  2.69  5.40  25.66  89.7
cam02  30  2.30  3.92  29.30  88.4
cam03  30  2.07  4.02  26.40  88.5
cam06  30  1.96  4.27  26.31  88.7
cam07  30  2.17  3.82  25.80  88.2
cam08  30  2.49  3.90  29.62  89.6
cam09  30  2.29  4.34  29.37  89.1
cam10  30  2.95  4.34  47.91  87.1
cam16  30  2.26  3.60  40.00  89.1
cam17  30  1.98  3.62  29.52  90.1
