# 相机数 10 | train RMS 中位 3.05 px | test RMS 中位 5.42 px | 通用模型 test RMS 中位 22.61 px | 改善 4.2x | IOD 均值 89.6 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.70  4.83  21.23  89.9
cam01  30  3.38  5.53  19.55  90.1
cam02  30  3.16  6.30  26.92  88.8
cam03  30  2.37  4.38  25.86  89.5
cam07  30  2.39  4.60  23.32  89.4
cam08  30  3.18  5.45  19.29  90.0
cam09  30  2.94  5.38  18.17  90.1
cam10  30  6.04  10.85  32.73  88.5
cam16  30  4.31  6.46  31.72  89.5
cam17  30  2.32  4.04  21.89  90.3
