# 相机数 10 | train RMS 中位 3.76 px | test RMS 中位 6.47 px | 通用模型 test RMS 中位 27.29 px | 改善 4.2x | IOD 均值 89.7 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.68  7.17  17.98  90.0
cam01  30  3.83  6.30  19.16  90.5
cam02  30  3.04  4.99  26.31  89.4
cam03  30  2.77  4.88  24.30  89.9
cam07  30  3.11  5.84  26.03  88.9
cam08  30  4.10  6.60  28.26  89.1
cam09  30  4.32  7.17  28.69  89.2
cam10  30  4.26  8.59  43.63  88.6
cam16  30  4.44  7.57  38.72  91.8
cam17  30  3.63  6.35  31.80  89.2
