# 相机数 11 | train RMS 中位 3.34 px | test RMS 中位 6.45 px | 通用模型 test RMS 中位 31.09 px | 改善 4.8x | IOD 均值 89.4 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.34  8.18  27.31  89.7
cam01  30  4.00  8.36  29.25  90.1
cam02  30  3.29  7.40  35.59  90.9
cam03  30  3.28  5.36  30.45  89.1
cam05  30  2.61  5.24  14.37  90.0
cam07  30  3.00  6.65  31.09  90.3
cam08  30  3.74  6.45  28.90  89.0
cam09  30  4.14  6.34  34.41  89.0
cam10  30  4.67  6.73  46.73  87.3
cam16  30  3.42  6.09  40.19  89.2
cam17  30  2.81  5.32  35.46  89.4
