# 相机数 9 | train RMS 中位 3.33 px | test RMS 中位 5.21 px | 通用模型 test RMS 中位 26.66 px | 改善 5.1x | IOD 均值 89.5 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.46  4.49  18.32  90.2
cam01  30  2.76  4.13  20.63  90.2
cam02  30  3.57  6.13  28.42  88.3
cam07  30  2.73  5.12  24.83  88.2
cam08  30  3.76  5.54  24.56  90.1
cam09  30  3.33  5.18  27.19  89.7
cam10  30  4.86  9.45  35.22  88.7
cam16  30  4.21  7.03  26.94  90.0
cam17  30  2.69  5.21  26.66  89.7
