# 相机数 13 | train RMS 中位 3.01 px | test RMS 中位 5.87 px | 通用模型 test RMS 中位 23.15 px | 改善 3.9x | IOD 均值 89.6 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  3.01  5.87  22.86  89.7
cam01  30  3.24  6.43  23.22  90.1
cam02  30  3.59  7.59  33.28  89.6
cam03  30  2.45  4.83  29.70  89.8
cam04  30  1.97  4.00  17.77  89.9
cam05  30  1.85  3.61  18.25  89.8
cam06  30  2.11  5.26  23.15  88.5
cam07  30  2.39  5.79  25.52  89.3
cam08  30  3.22  5.99  19.38  89.7
cam09  30  3.22  6.41  19.62  89.9
cam10  30  4.93  9.55  35.81  88.3
cam16  30  3.70  7.53  29.54  89.9
cam17  30  2.59  4.88  18.64  89.9
