# 相机数 10 | train RMS 中位 2.47 px | test RMS 中位 4.35 px | 通用模型 test RMS 中位 22.64 px | 改善 5.2x | IOD 均值 90.2 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.30  3.71  13.61  91.1
cam01  30  2.54  4.32  13.33  91.2
cam02  30  2.36  4.39  21.36  90.7
cam03  30  2.07  3.78  21.08  89.9
cam07  30  1.85  3.48  18.27  90.8
cam08  30  2.68  4.54  25.35  90.4
cam09  30  2.61  4.68  23.92  90.3
cam10  30  4.08  6.69  39.71  88.1
cam16  30  2.67  4.66  38.73  89.4
cam17  30  2.40  4.24  31.16  89.7
