# 相机数 11 | train RMS 中位 2.88 px | test RMS 中位 6.19 px | 通用模型 test RMS 中位 24.49 px | 改善 4.0x | IOD 均值 89.9 mm
# camera  n_train_kept  train_rms_px  test_rms_px  test_rms_generic_px  iod_mm
cam00  30  2.57  4.85  25.58  90.3
cam01  30  2.51  5.29  23.55  90.2
cam02  30  2.88  6.19  29.97  90.3
cam03  30  2.57  4.52  27.01  89.1
cam06  30  2.02  3.53  21.39  89.8
cam07  30  2.30  4.53  22.89  90.4
cam08  30  3.94  6.28  23.72  90.2
cam09  30  3.59  6.97  19.54  90.3
cam10  30  4.55  9.79  41.28  88.3
cam16  30  4.03  8.32  36.03  89.8
cam17  30  3.43  6.42  24.49  90.0
